"Table 19. Number of Registered Maternal Deaths by Age Group and Place of Usual Residence, Philippines: 2021",,,,,,,,,,,
Place of Usual Residence (Region/Province/HUC),,Age Group,,,,,,,,,
,Total,Under 15,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 & over,
 REGION III (CENTRAL LUZON) , 304 , 3 , 20 , 45 , 64 , 68 , 73 , 28 , 3 , - ,
    Aurora , 14 , - , - , 1 , 4 , 5 , 3 , 1 , - , - ,
    Bataan , 22 , - , - , 3 , 5 , 7 , 5 , 2 , - , - ,
    Bulacan , 93 , 1 , 7 , 18 , 20 , 17 , 24 , 5 , 1 , - ,
    Nueva Ecija , 70 , 2 , 3 , 8 , 18 , 12 , 18 , 9 , - , - ,
    Pampanga , 37 , - , 6 , 4 , 5 , 9 , 10 , 3 , - , - ,
    Tarlac , 32 , - , 2 , 5 , 7 , 7 , 5 , 5 , 1 , - ,
    Zambales , 18 , - , 1 , 2 , 3 , 6 , 4 , 1 , 1 , - ,
    City of Angeles , 13 , - , - , 4 , 2 , 4 , 2 , 1 , - , - ,
    City of Olongapo , 5 , - , 1 , - , - , 1 , 2 , 1 , - , - ,
 REGION IV-A (CALABARZON) , 392 , - , 27 , 46 , 74 , 78 , 108 , 53 , 6 , - ,
    Batangas , 60 , - , 6 , 4 , 14 , 12 , 18 , 6 , - , - ,
    Cavite , 101 , - , 6 , 11 , 17 , 17 , 30 , 20 , - , - ,
    Laguna , 80 , - , 6 , 9 , 19 , 18 , 18 , 8 , 2 , - ,
    Quezon , 46 , - , 3 , 8 , 8 , 8 , 13 , 4 , 2 , - ,
    Rizal , 96 , - , 4 , 14 , 16 , 21 , 24 , 15 , 2 , - ,
    City of Lucena , 9 , - , 2 , - , - , 2 , 5 , - , - , - ,
 MIMAROPA REGION , 76 , - , 6 , 16 , 17 , 20 , 9 , 6 , 2 , - ,
    Marinduque , 2 , - , 1 , - , - , 1 , - , - , - , - ,
    Occidental Mindoro , 17 , - , 1 , 3 , 2 , 6 , 2 , 1 , 2 , - ,
    Oriental Mindoro , 21 , - , 1 , 5 , 5 , 5 , 3 , 2 , - , - ,
    Palawan , 26 , - , 3 , 6 , 6 , 6 , 3 , 2 , - , - ,
    Romblon , 5 , - , - , 1 , 2 , - , 1 , 1 , - , - ,
    City of Puerto Princesa , 5 , - , - , 1 , 2 , 2 , - , - , - , - ,
 REGION V (BICOL REGION) , 160 , 1 , 9 , 24 , 34 , 38 , 35 , 18 , 1 , - ,
    Albay , 24 , - , 1 , 5 , 5 , 9 , 3 , 1 , - , - ,
    Camarines Norte , 19 , - , - , 3 , 6 , 3 , 5 , 1 , 1 , - ,
    Camarines Sur , 49 , - , 2 , 8 , 7 , 11 , 16 , 5 , - , - ,
    Catanduanes , 14 , - , 3 , 1 , 5 , 1 , 4 , - , - , - ,
    Masbate , 33 , 1 , 2 , 4 , 4 , 8 , 5 , 9 , - , - ,
    Sorsogon , 21 , - , 1 , 3 , 7 , 6 , 2 , 2 , - , - ,
 REGION VI (WESTERN VISAYAS) , 137 , - , 15 , 20 , 27 , 35 , 28 , 11 , 1 , - ,
    Aklan , 9 , - , - , 2 , 2 , 2 , 2 , 1 , - , - ,
    Antique , 11 , - , - , 1 , 4 , - , 3 , 3 , - , - ,
    Capiz , 8 , - , 1 , - , 1 , 1 , 5 , - , - , - ,
    Guimaras , 3 , - , - , 1 , - , 1 , 1 , - , - , - ,
    Iloilo , 25 , - , 3 , - , 6 , 7 , 6 , 3 , - , - ,
    Negros Occidental , 62 , - , 9 , 13 , 9 , 18 , 9 , 3 , 1 , - ,
    City of Bacolod , 16 , - , 2 , 3 , 4 , 4 , 2 , 1 , - , - ,
    City of Iloilo , 3 , - , - , - , 1 , 2 , - , - , - , - ,
 REGION VII (CENTRAL VISAYAS) , 206 , - , 14 , 33 , 37 , 52 , 46 , 20 , 4 , - ,
    Bohol , 14 , - , - , 1 , 5 , 3 , 1 , 3 , 1 , - ,
    Cebu , 96 , - , 10 , 15 , 16 , 21 , 24 , 9 , 1 , - ,
    Negros Oriental , 24 , - , 2 , 3 , 5 , 7 , 5 , 1 , 1 , - ,
    Siquijor , 1 , - , - , - , - , - , - , 1 , - , - ,
    City of Cebu , 39 , - , 1 , 10 , 4 , 11 , 8 , 4 , 1 , - ,
    City of Lapu-Lapu , 20 , - , 1 , 4 , 5 , 5 , 3 , 2 , - , - ,
    City of Mandaue , 12 , - , - , - , 2 , 5 , 5 , - , - , - ,
 REGION VIII (EASTERN VISAYAS) , 70 , - , 6 , 8 , 14 , 16 , 18 , 8 , - , - ,
    Biliran , 2 , - , - , - , 1 , - , 1 , - , - , - ,
    Eastern Samar , 7 , - , 1 , 1 , 1 , 1 , 2 , 1 , - , - ,
    Leyte , 22 , - , 1 , 2 , 2 , 6 , 9 , 2 , - , - ,
    Northern Samar , 12 , - , 2 , 2 , 4 , 1 , 2 , 1 , - , - ,
    Samar , 14 , - , 1 , 1 , 2 , 5 , 2 , 3 , - , - ,
    Southern Leyte , 8 , - , - , 1 , 3 , 3 , 1 , - , - , - ,
    City of Tacloban , 5 , - , 1 , 1 , 1 , - , 1 , 1 , - , - ,
 REGION IX (ZAMBOANGA PENINSULA) , 105 , - , 6 , 17 , 19 , 24 , 24 , 12 , 3 , - ,
    Zamboanga del Norte , 20 , - , 1 , 5 , 5 , 4 , 2 , 2 , 1 , - ,
    Zamboanga del Sur , 25 , - , 2 , 2 , 7 , 6 , 5 , 3 , - , - ,
    Zamboanga Sibugay , 12 , - , 1 , 1 , 2 , 4 , 1 , 3 , - , - ,
    City of Isabela , 3 , - , - , - , - , 2 , 1 , - , - , - ,
    City of Zamboanga , 45 , - , 2 , 9 , 5 , 8 , 15 , 4 , 2 , - ,
 REGION X (NORTHERN MINDANAO) , 117 , - , 8 , 14 , 30 , 26 , 23 , 10 , 5 , 1 ,
    Bukidnon , 33 , - , 4 , 5 , 5 , 8 , 7 , 3 , 1 , - ,
    Camiguin , 1 , - , - , - , - , - , 1 , - , - , - ,
    Lanao del Norte , 12 , - , - , 1 , 5 , 5 , - , - , - , 1 ,
    Misamis Occidental , 14 , - , - , 4 , 6 , 2 , - , 1 , 1 , - ,
    Misamis Oriental , 24 , - , 2 , - , 6 , 5 , 6 , 3 , 2 , - ,
    City of Cagayan de Oro , 19 , - , 2 , 1 , 5 , 1 , 7 , 3 , - , - ,
    City of Iligan , 14 , - , - , 3 , 3 , 5 , 2 , - , 1 , - ,
 REGION XI (DAVAO REGION) , 142 , - , 10 , 28 , 29 , 33 , 20 , 20 , 2 , - ,
    Davao de Oro , 27 , - , - , 5 , 8 , 3 , 5 , 6 , - , - ,
    Davao del Norte , 28 , - , 3 , 6 , 5 , 5 , 6 , 3 , - , - ,
    Davao del Sur , 16 , - , 2 , 1 , 4 , 7 , - , 1 , 1 , - ,
    Davao Occidental , 8 , - , 1 , 2 , 2 , 2 , - , 1 , - , - ,
    Davao Oriental , 17 , - , 2 , 5 , 1 , 6 , 1 , 2 , - , - ,
    City of Davao , 46 , - , 2 , 9 , 9 , 10 , 8 , 7 , 1 , - ,
 REGION XII (SOCCSKSARGEN) , 80 , - , 2 , 14 , 15 , 21 , 17 , 10 , 1 , - ,
    Cotabato , 19 , - , - , 3 , 3 , 4 , 5 , 3 , 1 , - ,
    Sarangani , 12 , - , - , 2 , - , 4 , 4 , 2 , - , - ,
    South Cotabato , 14 , - , 1 , 3 , 4 , 4 , 2 , - , - , - ,
    Sultan Kudarat , 16 , - , 1 , 3 , 4 , 3 , 1 , 4 , - , - ,
    City of General Santos , 19 , - , - , 3 , 4 , 6 , 5 , 1 , - , - ,
 REGION XIII (CARAGA) , 90 , - , 6 , 14 , 17 , 20 , 16 , 14 , 3 , - ,
    Agusan del Norte , 10 , - , - , 1 , 3 , 4 , 1 , 1 , - , - ,
    Agusan del Sur , 26 , - , 2 , 2 , 5 , 7 , 4 , 4 , 2 , - ,
    Dinagat Islands , 1 , - , - , - , - , - , - , - , 1 , - ,
    Surigao del Norte , 13 , - , 1 , 1 , 3 , 3 , 2 , 3 , - , - ,
    Surigao del Sur , 23 , - , 2 , 8 , 3 , 3 , 3 , 4 , - , - ,
    City of Butuan , 17 , - , 1 , 2 , 3 , 3 , 6 , 2 , - , - ,
" BANGSAMORO AUTONOMOUS REGION IN MUSLIM 
   MINDANAO (BARMM) ", 45 , - , 2 , 7 , 8 , 10 , 9 , 8 , 1 , - ,
    Basilan , 6 , - , - , 1 , - , 1 , 3 , 1 , - , - ,
    Lanao del Sur , 17 , - , - , 3 , 2 , 7 , 1 , 3 , 1 , - ,
    Maguindanao , 17 , - , 2 , 2 , 3 , 1 , 5 , 4 , - , - ,
    Sulu , 2 , - , - , - , 1 , 1 , - , - , - , - ,
    Tawi-Tawi , 3 , - , - , 1 , 2 , - , - , - , - , - ,
FOREIGN COUNTRY, 1 , - , - , - , 1 , - , - , - , - , - ,
"Source: Philippine Statistics Authority (Data on deaths are those registered at the Office of the City/Municipal Civil Registrars throughout the country and submitted to the Office of the Civil 
              Registrar General using Certificate of Death-Municipal Form No. 103)",,,,,,,,,,,
Note:  Figures are results of actual registration without any adjustment for under registration,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
